,subject,duration,standing_up,first_walk,first_turn,second_walk,second_turn,sitting_down,status
255,s27,8783.0,1220.0,1707.0,1464.0,2196.0,1220.0,976.0,success
256,s27,9271.0,1220.0,1708.0,1707.0,2196.0,1464.0,976.0,success
257,s27,9515.0,1220.0,1708.0,1708.0,2195.0,1464.0,1220.0,success
258,s27,9516.0,1221.0,1708.0,1707.0,2196.0,1708.0,976.0,success
259,s27,9271.0,1220.0,1708.0,1707.0,1953.0,1463.0,1220.0,success
260,s27,8783.0,975.0,1709.0,1464.0,2195.0,1708.0,732.0,success
261,s28,8295.0,732.0,2440.0,1219.0,2197.0,975.0,732.0,success
262,s28,8296.0,732.0,2440.0,976.0,2440.0,976.0,732.0,success
263,s28,8295.0,488.0,2440.0,1219.0,2196.0,1220.0,732.0,success
264,s28,,,3173.0,976.0,2439.0,976.0,732.0,failure
265,s28,8051.0,487.0,2441.0,1219.0,2440.0,976.0,488.0,success
266,s28,,,3660.0,1219.0,2196.0,,,failure
267,s28,,488.0,2439.0,1221.0,2195.0,,,failure
268,s28,,488.0,2439.0,1220.0,2196.0,,,failure
269,s28,,488.0,2440.0,977.0,2439.0,,,failure
270,s28,,488.0,2440.0,1220.0,2195.0,,,failure
271,s29,8052.0,976.0,1952.0,1463.0,1708.0,977.0,976.0,success
272,s29,8296.0,976.0,1952.0,1464.0,1707.0,976.0,1221.0,success
273,s29,8540.0,488.0,2440.0,1220.0,2195.0,733.0,1464.0,success
274,s29,7808.0,732.0,1952.0,1220.0,1952.0,488.0,1464.0,success
275,s29,8539.0,975.0,1952.0,977.0,2195.0,976.0,1464.0,success
276,s29,8783.0,732.0,2439.0,1221.0,1951.0,976.0,1464.0,success
277,s29,8540.0,975.0,1953.0,1464.0,1707.0,977.0,1464.0,success
278,s29,8296.0,976.0,1952.0,1220.0,1952.0,1220.0,976.0,success
279,s29,8296.0,488.0,2439.0,1221.0,1952.0,732.0,1464.0,success
280,s29,7564.0,732.0,1952.0,976.0,1951.0,976.0,977.0,success
281,s30,9271.0,1952.0,1220.0,1952.0,1708.0,1464.0,975.0,success
282,s30,8540.0,732.0,2196.0,,,4636.0,976.0,partial_success
283,s30,8784.0,732.0,2196.0,2440.0,975.0,1953.0,488.0,success
284,s30,8539.0,732.0,2196.0,1708.0,1708.0,1951.0,244.0,success
285,s30,8783.0,1707.0,1220.0,1708.0,1708.0,2196.0,244.0,success
286,s30,8539.0,1707.0,1465.0,1463.0,1709.0,1951.0,244.0,success
287,s30,9028.0,733.0,2439.0,1464.0,1952.0,2196.0,244.0,success
288,s30,9028.0,732.0,2440.0,1708.0,1707.0,2197.0,244.0,success
289,s30,9027.0,487.0,2440.0,1708.0,1708.0,1952.0,732.0,success
290,s30,8784.0,1708.0,1464.0,1464.0,1952.0,1708.0,488.0,success
